id;name;type;life;peer_id;peer_name;misc;zvalue;geom
1005;P1005;SADDLE;0.640000;1006;P1006;"name:P1005|type:SADDLE|life:0.640000|pair-type:H1|paired-to:P1006|z:2507.360107";2507.360107;"POINT (648487.500000 147687.500000)"
1006;P1006;MAXIMUM;0.640000;1005;P1005;"name:P1006|type:MAXIMUM|life:0.640000|pair-type:H1|paired-to:P1005|z:2508.000000";2508.000000;"POINT (648512.500000 147687.500000)"
1007;P1007;MINIMUM;2.000000;1008;P1008;"name:P1007|type:MINIMUM|life:2.000000|pair-type:H0|paired-to:P1008|z:2508.000000";2508.000000;"POINT (648362.500000 147912.500000)"
1008;P1008;SADDLE;2.000000;1007;P1007;"name:P1008|type:SADDLE|life:2.000000|pair-type:H0|paired-to:P1007|z:2510.000000";2510.000000;"POINT (648387.500000 147912.500000)"
1009;P1009;MINIMUM;1.000000;1010;P1010;"name:P1009|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P1010|z:2509.000000";2509.000000;"POINT (648337.500000 147937.500000)"
1010;P1010;SADDLE;1.000000;1009;P1009;"name:P1010|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P1009|z:2510.000000";2510.000000;"POINT (648362.500000 147937.500000)"
1011;P1011;MINIMUM;0.640000;1012;P1012;"name:P1011|type:MINIMUM|life:0.640000|pair-type:H0|paired-to:P1012|z:2510.000000";2510.000000;"POINT (646087.500000 144212.500000)"
1012;P1012;SADDLE;0.640000;1011;P1011;"name:P1012|type:SADDLE|life:0.640000|pair-type:H0|paired-to:P1011|z:2510.639893";2510.639893;"POINT (646112.500000 144212.500000)"
1013;P1013;SADDLE;4.000000;1014;P1014;"name:P1013|type:SADDLE|life:4.000000|pair-type:H1|paired-to:P1014|z:2513.000000";2513.000000;"POINT (652337.500000 145137.500000)"
1014;P1014;MAXIMUM;4.000000;1013;P1013;"name:P1014|type:MAXIMUM|life:4.000000|pair-type:H1|paired-to:P1013|z:2517.000000";2517.000000;"POINT (652337.500000 145112.500000)"
1015;P1015;SADDLE;4.000000;1016;P1016;"name:P1015|type:SADDLE|life:4.000000|pair-type:H1|paired-to:P1016|z:2513.000000";2513.000000;"POINT (637137.500000 155987.500000)"
1016;P1016;MAXIMUM;4.000000;1015;P1015;"name:P1016|type:MAXIMUM|life:4.000000|pair-type:H1|paired-to:P1015|z:2517.000000";2517.000000;"POINT (637112.500000 155987.500000)"
1017;P1017;MINIMUM;0.640000;1018;P1018;"name:P1017|type:MINIMUM|life:0.640000|pair-type:H0|paired-to:P1018|z:2514.000000";2514.000000;"POINT (650112.500000 140887.500000)"
1018;P1018;SADDLE;0.640000;1017;P1017;"name:P1018|type:SADDLE|life:0.640000|pair-type:H0|paired-to:P1017|z:2514.639893";2514.639893;"POINT (650112.500000 140862.500000)"
1019;P1019;MINIMUM;5.000000;1020;P1020;"name:P1019|type:MINIMUM|life:5.000000|pair-type:H0|paired-to:P1020|z:2516.000000";2516.000000;"POINT (650087.500000 140912.500000)"
1020;P1020;SADDLE;5.000000;1019;P1019;"name:P1020|type:SADDLE|life:5.000000|pair-type:H0|paired-to:P1019|z:2521.000000";2521.000000;"POINT (650087.500000 140887.500000)"
